Characteristic,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"White, non-Hispanic Male",51.5,51.3,51.1,51.4,51.2,51.6,51.4,51.3,51.2,51.4,51.6,51.3,51.4
"White, non-Hispanic Female",48.5,48.7,48.9,48.6,48.8,48.4,48.6,48.7,48.8,48.6,48.4,48.7,48.6
"Black, non-Hispanic Male",51.0,50.8,51.1,51.4,51.2,50.7,51.2,50.8,50.9,51.0,51.1,51.0,51.1
"Black, non-Hispanic Female",49.0,49.2,48.9,48.6,48.8,49.3,48.8,49.2,49.1,49.0,48.9,49.0,48.9
Hispanic Male,51.2,51.1,51.1,51.1,51.3,51.1,50.9,51.3,51.5,51.5,51.0,51.0,51.1
Hispanic Female,48.8,48.9,48.9,48.9,48.7,48.9,49.1,48.7,48.5,48.5,49.0,49.0,48.9
American Indian/Alaska Native Male,50.0,49.5,51.0,50.9,51.3,52.1,51.3,50.7,50.6,51.3,50.5,51.4,51.7
American Indian/Alaska Native Female,50.0,50.5,49.0,49.1,48.7,47.9,48.7,49.3,49.4,48.7,49.5,48.6,48.4
Asian and Pacific Islander Male,51.1,51.8,50.9,52.4,50.2,51.1,51.2,50.7,52.0,52.5,51.4,52.0,50.1
Asian and Pacific Islander Female,49.9,48.2,49.1,47.6,49.8,48.9,48.8,49.3,48.0,47.5,48.6,48.0,49.9
